image,MOS
10589450596.jpg,0.645774
10597114264.jpg,0.728929
10602786066.jpg,0.277605
10603218265.jpg,0.718616
10604417276.jpg,0.773693
10605846204.jpg,0.704621
10609356094.jpg,0.67
10614052044.jpg,0.746208
10615424764.jpg,0.741904
10617981003.jpg,0.403176
10619909515.jpg,0.607775
10620203775.jpg,0.208611
10620356404.jpg,0.564543
1062133952.jpg,0.609873
10625988224.jpg,0.668443
10628337356.jpg,0.754042
10628497685.jpg,0.549478
10628645805.jpg,0.835809
10631219374.jpg,0.717143
10631630073.jpg,0.214116
1063351510.jpg,0.471154
10633933603.jpg,0.588898
10635160054.jpg,0.697049
1063722220.jpg,0.560233
10642085843.jpg,0.748375
10644234544.jpg,0.54729
106456452.jpg,0.252727
10660362264.jpg,0.778932
10660571735.jpg,0.477022
10660620125.jpg,0.737898
106652866.jpg,0.490441
10665464526.jpg,0.769139
10676427864.jpg,0.758726
1067765170.jpg,0.51175
10678199353.jpg,0.703611
10678350303.jpg,0.667866
10679134563.jpg,0.332791
10680153225.jpg,0.454065
10680502673.jpg,0.787562
10680715605.jpg,0.373
10680932454.jpg,0.513937
10683218616.jpg,0.694391
10686332213.jpg,0.574216
10689376076.jpg,0.592394
10689538413.jpg,0.736688
10689722684.jpg,0.761438
10690294454.jpg,0.725
10692654005.jpg,0.682
10692667386.jpg,0.719033
10692857705.jpg,0.689679
10693826785.jpg,0.532757
10694350076.jpg,0.731286
10698962263.jpg,0.391106
10705911926.jpg,0.707844
10706770686.jpg,0.768519
10713772814.jpg,0.623302
10714662986.jpg,0.806552
10715577856.jpg,0.452136
10721124556.jpg,0.58458
10723077086.jpg,0.718529
10724461514.jpg,0.726631
10724889206.jpg,0.635183
10728525673.jpg,0.683026
10730634575.jpg,0.5875
10732971054.jpg,0.511
10733259996.jpg,0.623197
10737029565.jpg,0.630172
10740242265.jpg,0.691193
10740725955.jpg,0.771482
10740727595.jpg,0.729125
10745415703.jpg,0.691389
10745932825.jpg,0.648846
10747724694.jpg,0.584387
107505789.jpg,0.5435
10751799554.jpg,0.719954
1075190309.jpg,0.382697
10762659033.jpg,0.4225
10765812585.jpg,0.466449
10767441335.jpg,0.742095
10770026303.jpg,0.720826
10770700455.jpg,0.607438
10773126784.jpg,0.78475
10775358296.jpg,0.377754
10776111906.jpg,0.73975
107799222.jpg,0.732727
10783395635.jpg,0.719916
10784159775.jpg,0.74885
10786271105.jpg,0.677756
10787038944.jpg,0.604979
10787258285.jpg,0.718941
10790803694.jpg,0.738564
10791502435.jpg,0.70813
10792125886.jpg,0.712224
10798439785.jpg,0.60025
10799367156.jpg,0.736
10799853136.jpg,0.696986
10805317444.jpg,0.519381
10806677866.jpg,0.609054
10813730303.jpg,0.400817
10814874265.jpg,0.782075
10819001424.jpg,0.207703
10819132874.jpg,0.757798
10819329365.jpg,0.599912
10827568885.jpg,0.774873
10828147985.jpg,0.541184
10828395135.jpg,0.740714
10829329963.jpg,0.787967
10836905604.jpg,0.759932
10843403305.jpg,0.699299
10847909336.jpg,0.241142
10849117054.jpg,0.568684
10849700404.jpg,0.730066
1084984228.jpg,0.348319
1085590803.jpg,0.240558
10856434794.jpg,0.440375
10856757.jpg,0.322955
10858952303.jpg,0.455647
10861031374.jpg,0.64675
10862487886.jpg,0.653037
10864812016.jpg,0.568848
10865798996.jpg,0.764722
10866463396.jpg,0.691029
10866561184.jpg,0.773304
10868390853.jpg,0.75315
10872249945.jpg,0.770435
10875461386.jpg,0.553889
10880314705.jpg,0.774211
10882856833.jpg,0.620066
10883456586.jpg,0.288793
1089100444.jpg,0.646229
10893404795.jpg,0.368761
10895044423.jpg,0.324748
10897840884.jpg,0.748305
10898287705.jpg,0.442212
10898689245.jpg,0.641795
10899733355.jpg,0.739905
10900020096.jpg,0.693784
10905088155.jpg,0.63714
10905114716.jpg,0.500696
10906887886.jpg,0.431061
1090979049.jpg,0.575304
10910262455.jpg,0.421763
10911046243.jpg,0.762339
10911095273.jpg,0.713805
10912602716.jpg,0.749511
10915557435.jpg,0.391836
10917741563.jpg,0.759439
10921653346.jpg,0.796176
10921880365.jpg,0.685065
10923819485.jpg,0.408276
10925112255.jpg,0.227925
10927420963.jpg,0.649551
10931213005.jpg,0.470625
10932590295.jpg,0.384145
10933722123.jpg,0.536891
10936496124.jpg,0.59115
10937404313.jpg,0.566188
10947519133.jpg,0.746092
10948257133.jpg,0.420929
10953973716.jpg,0.726486
10961758274.jpg,0.751807
10967023396.jpg,0.554797
10968711744.jpg,0.783793
10980930876.jpg,0.693571
10981006796.jpg,0.177403
109825878.jpg,0.372313
10983119996.jpg,0.57539
10990397626.jpg,0.357188
10990887046.jpg,0.580765
11004139923.jpg,0.682412
11005410885.jpg,0.554916
11006895124.jpg,0.662568
1100873520.jpg,0.515221
11009340314.jpg,0.630278
11010062705.jpg,0.676689
11013892854.jpg,0.274979
11016309165.jpg,0.626892
11016485883.jpg,0.681786
11018079835.jpg,0.766603
1101948952.jpg,0.751743
11021514993.jpg,0.677432
11021929275.jpg,0.72175
11023346856.jpg,0.621513
11031973684.jpg,0.714746
11033459414.jpg,0.635565
110356262.jpg,0.35925
11035760784.jpg,0.661161
1103755154.jpg,0.730641
11051034136.jpg,0.655318
11051374673.jpg,0.626149
11051749575.jpg,0.62125
11054039594.jpg,0.427353
11054638863.jpg,0.610071
11054899145.jpg,0.740513
11054955216.jpg,0.3675
11058112996.jpg,0.335541
11060185873.jpg,0.630148
11061633946.jpg,0.357838
11062902804.jpg,0.699118
11063650646.jpg,0.610457
11068654734.jpg,0.680694
11071132393.jpg,0.720089
11078122366.jpg,0.69973
11079282234.jpg,0.763617
11081975613.jpg,0.680023
11087687983.jpg,0.76089
11089447095.jpg,0.661824
11095381506.jpg,0.7675
11097661494.jpg,0.727171
11098121724.jpg,0.72641
11109548195.jpg,0.615231
11111585533.jpg,0.838496
11118140253.jpg,0.728235
11124139926.jpg,0.472146
11126091314.jpg,0.425473
11126232436.jpg,0.522095
11126652126.jpg,0.566486
11139368236.jpg,0.705256
11139580153.jpg,0.45325
11141708043.jpg,0.669229
11143825565.jpg,0.62355
11148529964.jpg,0.582
11149566996.jpg,0.473974
11150131936.jpg,0.639159
11153943035.jpg,0.602778
11155257336.jpg,0.582874
11156365526.jpg,0.475882
11158314215.jpg,0.46335
11159983896.jpg,0.710878
11163249414.jpg,0.679612
11165746213.jpg,0.643482
11169904264.jpg,0.685469
11170758174.jpg,0.602832
11170786154.jpg,0.676933
11172371243.jpg,0.758786
11175382195.jpg,0.494423
11175538013.jpg,0.736438
11183022383.jpg,0.430676
11201160185.jpg,0.623197
11208321473.jpg,0.728471
11209059333.jpg,0.60125
11209188974.jpg,0.66927
11209221046.jpg,0.5875
11209649786.jpg,0.69475
11215941184.jpg,0.734078
11216436636.jpg,0.740921
11218793016.jpg,0.609174
11219420725.jpg,0.728929
11221904805.jpg,0.781297
11226958966.jpg,0.729543
11229777185.jpg,0.660748
11232665444.jpg,0.322668
11239106136.jpg,0.564172
11241096796.jpg,0.699562
11242015725.jpg,0.637153
11245083256.jpg,0.61775
11245781693.jpg,0.675156
11250215644.jpg,0.696776
11251138933.jpg,0.692239
11252383376.jpg,0.701032
11252644224.jpg,0.645873
11253432804.jpg,0.612027
11256485296.jpg,0.619044
11256776836.jpg,0.695781
11260247205.jpg,0.747389
11260270773.jpg,0.723514
11260385706.jpg,0.727115
11262156493.jpg,0.799272
11264048414.jpg,0.208717
11268202995.jpg,0.417344
11269474243.jpg,0.740608
11269626135.jpg,0.803041
11270256213.jpg,0.663371
11270280904.jpg,0.317703
11273127766.jpg,0.795575
11273190884.jpg,0.748233
11275584366.jpg,0.474336
11287273183.jpg,0.766974
11288559554.jpg,0.624509
11291450085.jpg,0.567395
11292980633.jpg,0.71125
11293176185.jpg,0.613
11293946974.jpg,0.759801
11294894953.jpg,0.586102
11295475784.jpg,0.494145
11297504114.jpg,0.548899
11297570034.jpg,0.565261
11301386435.jpg,0.761513
11302087114.jpg,0.655441
1130601148.jpg,0.723804
11307198154.jpg,0.808
11310848503.jpg,0.701462
11316105544.jpg,0.778625
11320098306.jpg,0.512237
11321228905.jpg,0.770338
11324704676.jpg,0.509231
11325081573.jpg,0.500286
11327123904.jpg,0.748716
11333447674.jpg,0.769979
11333611705.jpg,0.633496
11333782783.jpg,0.703584
11335231214.jpg,0.689604
11338371864.jpg,0.688245
11339056674.jpg,0.671634
11341117543.jpg,0.616851
11346267905.jpg,0.728702
11347140483.jpg,0.536891
11353895754.jpg,0.729741
11356760053.jpg,0.733578
113663782.jpg,0.6755
11369797883.jpg,0.740278
113701797.jpg,0.480938
11370407443.jpg,0.473435
11372421485.jpg,0.656858
11378848184.jpg,0.641335
11381486584.jpg,0.519438
11382799454.jpg,0.720711
11389102005.jpg,0.602921
11389330254.jpg,0.640536
11393787465.jpg,0.21585
11396447303.jpg,0.480108
11399456186.jpg,0.632765
11404463006.jpg,0.541504
11406584295.jpg,0.553311
11407368256.jpg,0.722885
11407704456.jpg,0.721836
11407835876.jpg,0.611071
11407862453.jpg,0.706504
11408091114.jpg,0.682412
11408307524.jpg,0.664261
11408357925.jpg,0.581907
11408443745.jpg,0.63475
11410644126.jpg,0.636283
11410690075.jpg,0.713585
11414474354.jpg,0.185515
11414784395.jpg,0.709387
11416241303.jpg,0.683513
11419816946.jpg,0.761438
11424871693.jpg,0.37813
11426976205.jpg,0.351886
11432746805.jpg,0.655562
11433127464.jpg,0.541094
11433593823.jpg,0.629487
11436378704.jpg,0.793397
11436390143.jpg,0.724481
11436508006.jpg,0.651438
11437542656.jpg,0.576042
11438612393.jpg,0.319953
11439591215.jpg,0.311736
11446005074.jpg,0.774685
11452299875.jpg,0.744609
11453100924.jpg,0.790254
11456199025.jpg,0.345448
11459826225.jpg,0.62875
11460414725.jpg,0.7195
11461273913.jpg,0.707754
11474376103.jpg,0.5325
11476172786.jpg,0.72625
11477250346.jpg,0.770022
11484412296.jpg,0.632642
11490304024.jpg,0.546974
11495616074.jpg,0.378304
11498400544.jpg,0.506695
11499073263.jpg,0.302188
11501016504.jpg,0.554073
11501322724.jpg,0.733938
11503076944.jpg,0.790465
11504259765.jpg,0.435022
11504601393.jpg,0.523178
11506037556.jpg,0.542556
11509515706.jpg,0.357522
11511265293.jpg,0.242768
11514342335.jpg,0.719646
11515148456.jpg,0.644316
11518631385.jpg,0.322668
11519797605.jpg,0.729125
11520125355.jpg,0.657478
11521791886.jpg,0.513839
11522920033.jpg,0.573276
11522984926.jpg,0.443827
11523093675.jpg,0.730978
1152554814.jpg,0.390147
11527524903.jpg,0.336972
115290990.jpg,0.429433
11529156723.jpg,0.696518
11533404563.jpg,0.654668
11535275706.jpg,0.7495
11541375264.jpg,0.503514
11546100824.jpg,0.707087
11548683805.jpg,0.42391
1154962046.jpg,0.158361
11551017545.jpg,0.64027
11554709013.jpg,0.687734
11555549865.jpg,0.609403
11559530473.jpg,0.57925
1159028861.jpg,0.729125
11706252.jpg,0.322521
117172917.jpg,0.62979
1172858625.jpg,0.693158
1194894463.jpg,0.674901
1195689121.jpg,0.321348
1202598832.jpg,0.630678
120328351.jpg,0.39225
120459577.jpg,0.514013
120983206.jpg,0.630125
121123359.jpg,0.882438
122346209.jpg,0.342062
122553631.jpg,0.3785
122760647.jpg,0.509125
123242995.jpg,0.609685
1240561841.jpg,0.745508
1241002913.jpg,0.540903
1249337589.jpg,0.723087
1252945239.jpg,0.156585
125829275.jpg,0.341387
1266777709.jpg,0.641442
127977276.jpg,0.801029
128079586.jpg,0.576408
128293583.jpg,0.724076
1286765019.jpg,0.715517
128715765.jpg,0.569773
128781220.jpg,0.597206
1288155068.jpg,0.611992
1289162225.jpg,0.621471
129023751.jpg,0.776765
1292518332.jpg,0.657087
12949713.jpg,0.849103
1295925783.jpg,0.308041
1296759644.jpg,0.321321
1296775174.jpg,0.374245
1297819816.jpg,0.742794
1302738127.jpg,0.758141
1306121832.jpg,0.301305
1306193020.jpg,0.335733
1312413141.jpg,0.194152
1313706108.jpg,0.34416
1314838096.jpg,0.641757
1315889745.jpg,0.277568
1316239068.jpg,0.616165
1317678723.jpg,0.389197
132921013.jpg,0.725909
1329449674.jpg,0.446593
1329713028.jpg,0.527633
1331642031.jpg,0.542905
1332211559.jpg,0.226106
13325497.jpg,0.602308
133829142.jpg,0.234125
134343714.jpg,0.400315
1348094685.jpg,0.723835
1348788122.jpg,0.496
1351464251.jpg,0.688505
1351917139.jpg,0.610259
1352428885.jpg,0.515794
135352055.jpg,0.158361
135403304.jpg,0.250567
1357295757.jpg,0.708182
1360063696.jpg,0.704817
1360663704.jpg,0.772244
1362231035.jpg,0.726766
136287514.jpg,0.227938
1367218588.jpg,0.293157
1368120580.jpg,0.786059
136948336.jpg,0.789625
1375320148.jpg,0.5515
137731604.jpg,0.215903
137841242.jpg,0.707125
138750201.jpg,0.563438
1387568510.jpg,0.278311
1392405539.jpg,0.607524
139253033.jpg,0.309062
1396109073.jpg,0.634343
139611767.jpg,0.176387
1396758393.jpg,0.5425
139999071.jpg,0.256812
1402675396.jpg,0.299103
1404458044.jpg,0.420958
1408118135.jpg,0.445133
1408827056.jpg,0.306853
14092652.jpg,0.690275
1410303503.jpg,0.689888
141087919.jpg,0.795483
1413089132.jpg,0.405405
141683460.jpg,0.685945
1418012844.jpg,0.214116
142117255.jpg,0.679625
142607218.jpg,0.558625
1427484100.jpg,0.7165
1428835063.jpg,0.527759
1429120335.jpg,0.595676
1429419760.jpg,0.684808
1429848565.jpg,0.678326
1430765461.jpg,0.528571
1431934782.jpg,0.641272
143394138.jpg,0.299438
1434258458.jpg,0.678609
143622689.jpg,0.627375
143643298.jpg,0.22145
143899204.jpg,0.448625
144272742.jpg,0.241688
1446670895.jpg,0.613326
145089144.jpg,0.19425
145215893.jpg,0.101438
145517507.jpg,0.413563
1459611891.jpg,0.347237
1461013559.jpg,0.638882
1465282532.jpg,0.356942
1465706268.jpg,0.597812
1466864952.jpg,0.473169
146926363.jpg,0.099375
1473138944.jpg,0.31805
147639760.jpg,0.474062
147783170.jpg,0.34208
1487386722.jpg,0.289459
14898266.jpg,0.387727
1490095554.jpg,0.55067
1492755190.jpg,0.602059
1494601659.jpg,0.310482
149795981.jpg,0.630483
149836125.jpg,0.467563
149867784.jpg,0.728929
1500316824.jpg,0.720956
15012954.jpg,0.25891
1511406857.jpg,0.749679
1513796016.jpg,0.701216
1516506386.jpg,0.667866
1519242706.jpg,0.739431
1519650440.jpg,0.531568
1527228794.jpg,0.253125
152780037.jpg,0.406555
1529757375.jpg,0.66775
153557108.jpg,0.67416
153876946.jpg,0.529265
1539716347.jpg,0.379828
1540229828.jpg,0.729125
154270569.jpg,0.704773
1543375325.jpg,0.239475
1543929747.jpg,0.337203
154603426.jpg,0.64
154740129.jpg,0.076
155289213.jpg,0.480735
155365010.jpg,0.211438
155711788.jpg,0.131687
155797839.jpg,0.794097
1558503807.jpg,0.586729
156015117.jpg,0.620777
156117321.jpg,0.322668
1561250178.jpg,0.614191
1562015932.jpg,0.560233
156266461.jpg,0.410125
156451756.jpg,0.480735
1565882132.jpg,0.435878
1571972975.jpg,0.509005
1572596360.jpg,0.560252
1572804254.jpg,0.507845
1573719804.jpg,0.725
1576235224.jpg,0.289065
1580074951.jpg,0.675893
158100229.jpg,0.537584
159144665.jpg,0.7415
159838722.jpg,0.749034
160123908.jpg,0.63395
16057476.jpg,0.416364
16079437.jpg,0.530869
160981911.jpg,0.6425
160999577.jpg,0.305909
161483962.jpg,0.539375
161551525.jpg,0.428688
1626230781.jpg,0.152294
163208499.jpg,0.273182
1634910276.jpg,0.769
163666873.jpg,0.448151
163977327.jpg,0.223813
1646704912.jpg,0.597618
165074300.jpg,0.713676
16523804.jpg,0.421807
1654836945.jpg,0.484375
1663721615.jpg,0.154202
166528976.jpg,0.622562
1669800671.jpg,0.600878
1674951001.jpg,0.444685
1679551869.jpg,0.671398
16799807.jpg,0.39903
1682888994.jpg,0.664934
1693839090.jpg,0.22067
169625095.jpg,0.439832
169779095.jpg,0.663125
1708787959.jpg,0.58958
171857013.jpg,0.489875
174715115.jpg,0.283151
1748861184.jpg,0.622458
175326787.jpg,0.352273
1755366250.jpg,0.147263
17606027.jpg,0.693864
176663631.jpg,0.661818
1777841357.jpg,0.557982
178403727.jpg,0.322125
1792473649.jpg,0.738517
1794888173.jpg,0.495911
1795186582.jpg,0.353378
1796317547.jpg,0.816078
1797683075.jpg,0.348897
1798554647.jpg,0.494049
1799451312.jpg,0.620946
1802306299.jpg,0.402237
1805206682.jpg,0.307876
1807195948.jpg,0.34
1809848435.jpg,0.247279
1812202754.jpg,0.784661
181220864.jpg,0.289812
1814122396.jpg,0.605128
1820291567.jpg,0.269979
18238731.jpg,0.211667
183156510.jpg,0.488361
18438855.jpg,0.746208
185458280.jpg,0.111912
186520031.jpg,0.608298
187485230.jpg,0.457164
187499391.jpg,0.468256
187640892.jpg,0.378182
1896792999.jpg,0.677783
189899579.jpg,0.45825
1929087646.jpg,0.456471
19300996.jpg,0.234936
194278089.jpg,0.615
194369363.jpg,0.294625
1946326263.jpg,0.670737
1947195937.jpg,0.410819
19502065.jpg,0.050897
1966235400.jpg,0.687095
196734006.jpg,0.724769
1970440733.jpg,0.55875
197324620.jpg,0.62563
1979184408.jpg,0.535201
198187235.jpg,0.601366
1987196687.jpg,0.236008
1988371580.jpg,0.684935
1990074154.jpg,0.824868
1990510796.jpg,0.644179
1992159390.jpg,0.724757
1993125888.jpg,0.535735
19943010.jpg,0.772605
1995190133.jpg,0.773693
20079130.jpg,0.447179
200825729.jpg,0.670688
2017266.jpg,0.625953
2020522728.jpg,0.657748
202351926.jpg,0.746954
202551289.jpg,0.343466
2034844231.jpg,0.610631
2035975268.jpg,0.151429
203950866.jpg,0.727542
2041755502.jpg,0.741064
2044507520.jpg,0.802688
2047083409.jpg,0.475364
20522527.jpg,0.646731
2053452455.jpg,0.620647
2054743275.jpg,0.54625
2055589084.jpg,0.384806
205662428.jpg,0.366345
2058985902.jpg,0.404248
2059981058.jpg,0.5875
2060529660.jpg,0.432457
206294085.jpg,0.269875
2063421762.jpg,0.348103
2063914625.jpg,0.443125
2064478851.jpg,0.42542
2064690658.jpg,0.407898
2065542928.jpg,0.606652
2065722620.jpg,0.679662
2068650026.jpg,0.651929
2070418201.jpg,0.46811
2072843602.jpg,0.639946
2074092022.jpg,0.682867
2082936451.jpg,0.688816
2084725313.jpg,0.658951
2088433684.jpg,0.338527
208949930.jpg,0.726849
2093280771.jpg,0.419416
2093652366.jpg,0.452292
2094668596.jpg,0.558835
2096424103.jpg,0.548851
2097618827.jpg,0.358581
2098594651.jpg,0.214777
2099199686.jpg,0.67
2100483102.jpg,0.557689
2102208013.jpg,0.810177
2111309017.jpg,0.71425
2113239475.jpg,0.585329
2113638482.jpg,0.50279
2114240861.jpg,0.520469
2114797362.jpg,0.569429
211562425.jpg,0.352479
2115915075.jpg,0.558087
211603206.jpg,0.654748
2124048872.jpg,0.497826
2125272449.jpg,0.470379
2125535764.jpg,0.557225
2125600207.jpg,0.704189
2126677316.jpg,0.29399
2126890271.jpg,0.448659
2127908996.jpg,0.360449
2128879923.jpg,0.312009
2129246782.jpg,0.647429
2129680216.jpg,0.795642
2131254561.jpg,0.39237
2133766199.jpg,0.464091
213439801.jpg,0.206197
2138715193.jpg,0.53425
2138874780.jpg,0.704779
213906996.jpg,0.866625
214064484.jpg,0.537313
2140758242.jpg,0.690818
2140864586.jpg,0.625522
2142428164.jpg,0.740088
2144290999.jpg,0.173565
2144963177.jpg,0.602969
2145860500.jpg,0.627277
2147067327.jpg,0.671486
2147811000.jpg,0.452895
2148143527.jpg,0.580181
2149719899.jpg,0.381622
2149726014.jpg,0.254527
2150291485.jpg,0.50865
2152767186.jpg,0.734335
2154184161.jpg,0.536891
215794898.jpg,0.527878
2159705303.jpg,0.433549
2161809899.jpg,0.577924
2164495332.jpg,0.399929
2166503846.jpg,0.493851
2167658722.jpg,0.543261
2168323029.jpg,0.5305
2169516596.jpg,0.609054
2170460897.jpg,0.471416
2172409998.jpg,0.56
2174764653.jpg,0.729543
2178785463.jpg,0.582599
2181528959.jpg,0.711949
2182811741.jpg,0.686176
2183577836.jpg,0.426977
218453569.jpg,0.616618
218457399.jpg,0.43075
21852937.jpg,0.458636
2189906236.jpg,0.571295
2189933975.jpg,0.461579
2190310.jpg,0.583269
2191202126.jpg,0.444174
2191549592.jpg,0.507683
2191619969.jpg,0.59575
2191898704.jpg,0.636283
2194214783.jpg,0.751113
2195703133.jpg,0.523982
2196513263.jpg,0.13375
2197565905.jpg,0.674853
2197636094.jpg,0.722864
2198895718.jpg,0.449767
2199106763.jpg,0.50775
2199234449.jpg,0.452895
2199696686.jpg,0.755996
2201178081.jpg,0.551357
220183616.jpg,0.415567
2202105982.jpg,0.372411
2203797715.jpg,0.763096
2204368170.jpg,0.442775
220503608.jpg,0.270672
2208434983.jpg,0.299097
